Model,Dataset,Depth,Width,Test Accuracy %,Total Gates,Baseline PBS,Optimized PBS,PBS Saved,PBS Reduction %,Estimated Latency Reduction %
uci_phishing_websites_depth_01_width_08000,UCI Phishing Websites,1,8000,95.44762713568552,8000,5227,5227,0,0.0,0.0
uci_phishing_websites_depth_02_width_02000,UCI Phishing Websites,2,2000,93.93447382109504,4000,2495,2274,221,8.857715430861724,8.857715430861724
uci_phishing_websites_depth_02_width_04000,UCI Phishing Websites,2,4000,92.39549466541835,8000,5156,4744,412,7.990690457719162,7.990690457719162
uci_phishing_websites_depth_02_width_06000,UCI Phishing Websites,2,6000,94.84024473599024,12000,7655,6975,680,8.883082952318746,8.883082952318746
uci_phishing_websites_depth_02_width_08000,UCI Phishing Websites,2,8000,95.3424768788474,16000,10360,9523,837,8.079150579150578,8.079150579150578
uci_phishing_websites_depth_03_width_02000,UCI Phishing Websites,3,2000,93.9538436276572,6000,3604,3100,504,13.984461709211988,13.984461709211988
uci_phishing_websites_depth_03_width_04000,UCI Phishing Websites,3,4000,94.00319116456168,12000,7350,6127,1223,16.639455782312925,16.639455782312925
uci_phishing_websites_depth_03_width_06000,UCI Phishing Websites,3,6000,94.72218070711408,18000,10942,9085,1857,16.97130323524036,16.97130323524036
uci_phishing_websites_depth_03_width_08000,UCI Phishing Websites,3,8000,94.55476999282835,24000,14506,12664,1842,12.698193850820353,12.698193850820353
uci_phishing_websites_depth_04_width_02000,UCI Phishing Websites,4,2000,95.39828045027596,8000,4677,4040,637,13.61984177891811,13.61984177891811
uci_phishing_websites_depth_04_width_04000,UCI Phishing Websites,4,4000,94.4989664213998,16000,9411,7648,1763,18.73339708851344,18.73339708851344
uci_phishing_websites_depth_04_width_06000,UCI Phishing Websites,4,6000,93.93447382109504,24000,14119,11539,2580,18.27324881365536,18.27324881365536
uci_phishing_websites_depth_04_width_08000,UCI Phishing Websites,4,8000,95.50988759313312,32000,18608,15879,2729,14.66573516766982,14.66573516766982
uci_phishing_websites_depth_05_width_02000,UCI Phishing Websites,5,2000,95.17506616456168,10000,5673,4617,1056,18.614489687995768,18.614489687995768
uci_phishing_websites_depth_05_width_04000,UCI Phishing Websites,5,4000,95.23086973599024,20000,11377,9358,2019,17.746330315548914,17.746330315548914
uci_phishing_websites_depth_05_width_06000,UCI Phishing Websites,5,6000,95.01411148480008,30000,16998,13418,3580,21.061301329568185,21.061301329568185
uci_phishing_websites_depth_05_width_08000,UCI Phishing Websites,5,8000,95.62795077051436,40000,22399,17904,4495,20.067860172329123,20.067860172329123
uci_phishing_websites_depth_06_width_02000,UCI Phishing Websites,6,2000,91.6635913508279,12000,6852,4955,1897,27.68534734384121,27.68534734384121
uci_phishing_websites_depth_06_width_04000,UCI Phishing Websites,6,4000,94.27575213568552,24000,13515,9836,3679,27.22160562338143,27.22160562338143
uci_phishing_websites_depth_06_width_06000,UCI Phishing Websites,6,6000,93.38289499282835,36000,20211,15121,5090,25.184305576171397,25.184305576171397
uci_phishing_websites_depth_06_width_08000,UCI Phishing Websites,6,8000,95.23086973599024,48000,26663,20098,6565,24.62213554363725,24.62213554363725
